,site,eastings,northings,latitude,longitude
366,GD5351,252790,670532,55.90538062039748,-4.35507683662273
367,GD537U,251951,670926,55.90866075165067,-4.36870208110082
368,GD5401,251366,670337,55.903192347741964,-4.3777289850876295
369,GD545U,251861,670395,55.90386564216696,-4.369849761350854
370,GD550U,251400,671794,55.91628399093664,-4.377986420707375
371,GD555U,251914,670690,55.90653051616506,-4.369164244604095
372,GD5601,251090,670690,55.906276338932436,-4.382334291503766
373,GE0051,259019,666521,55.871230546246046,-4.253424665548249
374,GE0101,259054,667279,55.87804684805155,-4.253260008498497
375,GE015A,259075,667630,55.881204608942966,-4.253107191659307
376,GE020A,259085,667783,55.88258131582275,-4.2530270565368085
377,GE025A,259086,667926,55.883865600577955,-4.253085490445124
378,GE0271,258962,668085,55.88525697151333,-4.255149225139333
379,GE0301,258917,668249,55.88671634294004,-4.255953585889455
380,GE032A,258814,668717,55.89088830725103,-4.25784322073152
381,GE0351,258742,669005,55.89345312574425,-4.259143945885871
382,GE0401,259402,668215,55.8865528478506,-4.248187376719284
383,GE0451,259837,668261,55.88709264043796,-4.241261452328261
384,GE0501,259811,667262,55.87811501451222,-4.241159719616553
385,GE052A,258543,669262,55.895702295199484,-4.2624581115414415
386,GE0551,258407,669481,55.89762870262141,-4.264745982224973
387,GE060A,258411,668502,55.888839553168516,-4.264169883277837
388,GE1801,260406,666831,55.87441774064581,-4.2314336885674635
389,GE1851,260414,666919,55.87521021955285,-4.231351250580637
390,GE1901,260452,667157,55.87735825282642,-4.230866906222565
391,GE1921,260933,667125,55.87720996220876,-4.2231675490807286
392,GE195A,261125,667145,55.877444912699346,-4.220111022214149
393,GE2151,260359,667473,55.880168709751345,-4.232515267779127
394,GE222A,260572,667697,55.88224171036332,-4.229228134497779
395,GE225A,260159,668226,55.886871951388535,-4.236098880567772
396,GE2271,260431,668131,55.88609781669033,-4.2317042614566684
397,GE2291,260804,667775,55.883009161473225,-4.2255620677728025
398,GE2301,260741,668014,55.885136968326094,-4.226691408356308
399,GE2351,260762,669157,55.89540617064986,-4.22694385113687
400,GE240A,260502,668884,55.89287963891955,-4.230957974466552
401,GE245A,260555,669095,55.89478957492162,-4.230219800497015
402,GE2501,260560,669300,55.896631735882174,-4.230245538458461
403,GE255A,262262,668608,55.89090790525384,-4.2026937925105186
404,GE255B,262251,668612,55.890940676640454,-4.20287159301317
405,GE270U,262799,668838,55.89312640769482,-4.194229818878404
406,GF002A,260508,666278,55.869481814885404,-4.229519947145494
407,GF005U,260687,666332,55.87001845240364,-4.226689150365868
408,GF010U,260896,666387,55.87057266261341,-4.2233796858171635
409,GF0151,261197,666470,55.87140470269105,-4.218615194868596
410,GF0161,261479,666612,55.87276087399066,-4.214184100040453
411,GF017U,261838,666706,55.8737079626758,-4.208498400622615
412,GF020U,262252,666966,55.87616107535134,-4.202018354955219
413,GF0251,262843,667209,55.8785116142617,-4.192701538080856
414,GF0301,263030,667246,55.87889703827763,-4.189733170368054
415,GF035U,263040,666961,55.876340762412795,-4.189429346156157
416,GF050U,263229,668668,55.89172221880767,-4.187272643277373
417,GF051U,263241,668672,55.89176154359491,-4.187082914825286
418,GF060U,263417,668450,55.88981806298104,-4.184158560897334
419,GF061U,263423,668442,55.8897479292253,-4.184058654311852
420,GF0651,263799,668504,55.89041111577058,-4.178081970406393
421,GF0701,263866,668438,55.88983741460243,-4.176978205452401
422,GF100U,261615,666922,55.875583501118435,-4.212170355102404
423,GF1501,261387,666032,55.86752648019259,-4.215356810770314
424,GF205A,262903,665998,55.867654686500266,-4.191130443639816
425,GF210A,263039,666171,55.86924677549333,-4.189046041975445
426,GF215A,263248,666451,55.87182034086368,-4.185849611028311
427,GF2201,263371,666607,55.87325600821297,-4.183963831937382
428,GF2251,263451,666711,55.87421253755874,-4.182738512850302
429,GF285U,263797,667206,55.87875526087388,-4.177461043659141
430,GF3051,264719,667723,55.88365738707904,-4.1629912160936655
431,GG0021,260615,665873,55.86587621139349,-4.227602957586782
432,GG005A,260793,665783,55.865119514388184,-4.224714422715193
433,GG010A,261063,665689,55.864353351308175,-4.220354935699656
434,GG012A,261403,665589,55.863553283257446,-4.21487484033632
435,GG015A,261547,665562,55.863352214538565,-4.212561764296054
436,GG0171,261729,665529,55.863108125184496,-4.209638899482831
437,GG0221,261716,665385,55.861811383368774,-4.209773037871974
438,GG0251,261916,665498,55.86288335654799,-4.206637252685414
439,GG0271,261656,665801,55.86552954244154,-4.2109432857938325
440,GG030A,262159,665459,55.86260269191283,-4.202737418430811
441,GG0351,262453,665437,55.86248910263413,-4.1980319464110325
442,GG0401,262532,665544,55.863472420899,-4.196824797436725
443,GG045U,262504,665868,55.86637374111959,-4.19743619702574
444,GG050A,262650,665692,55.86483499247433,-4.195015611782225
445,GG0601,263527,665456,55.86296488534848,-4.1808927736897665
446,GG0621,263842,665450,55.86300006239666,-4.175860019194417
447,GG063U,263031,665133,55.85992390145612,-4.18864942297343
448,GG064U,264424,665309,55.8618979467659,-4.166496414038903
