From_Node,To_Node,To_Link,From,To,hasEntryLink,FROM_EASTINGS,FROM_NORTHINGS,TO_EASTINGS,TO_NORTHINGS
GA070A,GA0651,B,GA070A,GA0651_B,FALSE,258448,665547,258294,665584
GA070A,GA0651,C,GA070A,GA0651_C,FALSE,258448,665547,258294,665584
GA0601,GA0651,D,GA0601,GA0651_D,FALSE,258272,665497,258294,665584
GD0651,GD0671,B,GD0651,GD0671_B,FALSE,254930,668601,254839,668671
GA0301,GD0801,B,GA0301,GD0801_B,FALSE,257969,666156,257857,666274
GC1601,GD0971,C,GC1601,GD0971_C,FALSE,256211,666538,256374,666741
GD1001,GD0971,D,GD1001,GD0971_D,FALSE,256507,666926,256374,666741
GD105A,GD1001,T,GD105A,GD1001_T,FALSE,256618,667094,256507,666926
GD0971,GD1001,V,GD0971,GD1001_V,FALSE,256374,666741,256507,666926
GD1001,GD105A,Q,GD1001,GD105A_Q,FALSE,256507,666926,256618,667094
GD107A,GD105A,P,GD107A,GD105A_P,FALSE,256726,667243,256618,667094
GD0351,GD107A,M,GD0351,GD107A_M,FALSE,256839,667343,256726,667243
GD105A,GD107A,N,GD105A,GD107A_N,FALSE,256618,667094,256726,667243
GD1301,GD1251,R,GD1301,GD1251_R,FALSE,254799,667404,254985,667160
GD1401,GD1301,A,GD1401,GD1301_A,FALSE,254600,667707,254799,667404
GD1251,GD1301,B,GD1251,GD1301_B,FALSE,254985,667160,254799,667404
GD1351,GD1301,C,GD1351,GD1301_C,FALSE,254526,667285,254799,667404
GD138B,GD1351,Y,GD138B,GD1351_Y,FALSE,254555,667394,254526,667285
GD1301,GD1351,Q,GD1301,GD1351_Q,FALSE,254799,667404,254526,667285
GA1361,GA070A,S,GA1361,GA070A_S,FALSE,258567,665519,258448,665547
GD1351,GD138A,X,GD1351,GD138A_X,FALSE,254526,667285,254546,667393
GD1401,GD138B,P,GD1401,GD138B_P,FALSE,254600,667707,254555,667394
GD143A,GD1401,K,GD143A,GD1401_K,FALSE,254577,667845,254600,667707
GD1301,GD1401,N,GD1301,GD1401_N,FALSE,254799,667404,254600,667707
GD138A,GD1401,O,GD138A,GD1401_O,FALSE,254546,667393,254600,667707
GD1451,GD143A,G,GD1451,GD143A_G,FALSE,254609,668039,254577,667845
